,Titres,Auteur(s),Liste,recensé,Notes
871,Le Règne de la quantité et les signes des temps (1945),René Guénon,"097_tradition_primordiale, developpement_personnel, la_bibliotheque_ideale_4_selon_pacome_thiellement, la_gnose, le_traditionalisme, resonnances_mystiques, sophia_perennis",7,8.3
98,Chevaucher le tigre (1961),Julius Evola,"097_tradition_primordiale, developpement_personnel, la_gnose, le_traditionalisme, resonnances_mystiques, sophia_perennis",6,7.6
1068,Les États multiples de l'être (1932),René Guénon,"097_tradition_primordiale, developpement_personnel, la_gnose, le_traditionalisme, sophia_perennis",5,8.3
360,Introduction Générale à l'étude des doctrines hindoues (1921),René Guénon,"097_tradition_primordiale, developpement_personnel, la_gnose, le_traditionalisme, sophia_perennis",5,8.2
166,De l'unité transcendante des religions (1948),Frithjof Schuon,"097_tradition_primordiale, developpement_personnel, la_gnose, le_traditionalisme, sophia_perennis",5,8
539,La Bhagavad-Gîtâ,,"developpement_personnel, la_bibliotheque_ideale_4_selon_pacome_thiellement, la_gnose, resonnances_mystiques, sophia_perennis",5,8
557,La Crise du monde moderne (1927),René Guénon,"097_tradition_primordiale, developpement_personnel, la_gnose, le_traditionalisme, sophia_perennis",5,7.6
876,Le Sacré et le Profane,Mircea Eliade,"097_tradition_primordiale, la_gnose, le_traditionalisme, resonnances_mystiques, sophia_perennis",5,7.6
869,Le Roi du monde (1927),René Guénon,"097_tradition_primordiale, developpement_personnel, la_gnose, le_traditionalisme, sophia_perennis",5,7.1
160,"De Gautama Bouddha au triomphe du christianisme - Histoire des croyances et des idées religieuses, tome 2 (1978)",Mircea Eliade,"097_tradition_primordiale, developpement_personnel, la_gnose, le_traditionalisme",4,9
59,Autorité spirituelle et pouvoir temporel (1929),René Guénon,"097_tradition_primordiale, developpement_personnel, le_traditionalisme, sophia_perennis",4,8.8
437,L'Homme et son devenir selon le Vêdânta (1925),René Guénon,"097_tradition_primordiale, developpement_personnel, le_traditionalisme, sophia_perennis",4,8.8
735,La tradition hermétique (1931),Julius Evola,"097_tradition_primordiale, la_gnose, le_traditionalisme, sophia_perennis",4,8.5
31,Aperçus sur l'Initiation (1946),René Guénon,"097_tradition_primordiale, developpement_personnel, le_traditionalisme, sophia_perennis",4,8.1
1347,Symboles fondamentaux de la Science sacrée (1962),René Guénon,"097_tradition_primordiale, developpement_personnel, le_traditionalisme, sophia_perennis",4,8.1
289,Formes traditionnelles et cycles cosmiques (1970),René Guénon,"097_tradition_primordiale, developpement_personnel, le_traditionalisme, sophia_perennis",4,8
478,L'arc et la massue (1968),Julius Evola,"097_tradition_primordiale, la_gnose, le_traditionalisme, sophia_perennis",4,8
