,Titres,Auteur(s),Liste
0,Homo Mythologicus (2022),Pierre-Yves Lenoble,sophia_perennis
1,Orient et Occident (1924),René Guénon,sophia_perennis
2,Le symbolisme de la croix (1931),René Guénon,sophia_perennis
3,Autorité spirituelle et pouvoir temporel (1929),René Guénon,sophia_perennis
4,De l'unité transcendante des religions (1948),Frithjof Schuon,sophia_perennis
5,Les stations de la sagesse (1953),Frithjof Schuon,sophia_perennis
6,Castes et races,Frithjof Schuon,sophia_perennis
7,Principes et méthodes de l'art sacré,Titus Burckhardt,sophia_perennis
8,Science moderne et sagesse traditionnelle,Titus Burckhardt,sophia_perennis
9,"Corpus Hermeticum, tome II",Hermès Trismégiste,sophia_perennis
10,"Corpus Hermeticum, tome IV",Hermès Trismégiste,sophia_perennis
11,"Corpus Hermeticum, tome III",Hermès Trismégiste,sophia_perennis
12,"Corpus Hermeticum, tome I",Hermès Trismégiste,sophia_perennis
13,Hermès Trismégiste,Hermès Trismégiste,sophia_perennis
14,Le cycle de l'humanité adamique,Jean Phaure,sophia_perennis
15,Regards sur les mondes anciens,Frithjof Schuon,sophia_perennis
16,Symboles fondamentaux de la Science sacrée (1962),René Guénon,sophia_perennis
17,Le Règne de la quantité et les signes des temps (1945),René Guénon,sophia_perennis
18,Le Roi du monde (1927),René Guénon,sophia_perennis
19,Ennéades I (301),Plotin,sophia_perennis
20,Ennéades II (301),Plotin,sophia_perennis
21,Ennéades V (301),Plotin,sophia_perennis
22,Ennéades III (301),Plotin,sophia_perennis
23,Ennéades VI (1ère partie) (301),Plotin,sophia_perennis
24,Ennéades VI (2e partie) (301),Plotin,sophia_perennis
25,Ennéades IV (301),Plotin,sophia_perennis
26,La République,Platon,sophia_perennis
27,Pensées pour moi-même,"['Marc-Aurèle', 'Épictète']",sophia_perennis
28,L'Enfer / Inferno (1314),Dante Alighieri,sophia_perennis
29,Le Château intérieur (1577),Thérèse d'Avila,sophia_perennis
30,Aperçus sur l'Initiation (1946),René Guénon,sophia_perennis
31,La Crise du monde moderne (1927),René Guénon,sophia_perennis
32,L'Erreur spirite (1923),René Guénon,sophia_perennis
33,Révolte contre le monde moderne,Julius Evola,sophia_perennis
34,L'arc et la massue (1968),Julius Evola,sophia_perennis
35,Le Taoïsme,Julius Evola,sophia_perennis
36,La Doctrine de l'éveil,Julius Evola,sophia_perennis
37,La tradition hermétique (1931),Julius Evola,sophia_perennis
38,Le mystère du Graal (1937),Julius Evola,sophia_perennis
39,Métaphysique du sexe (1958),Julius Evola,sophia_perennis
40,Chevaucher le tigre (1961),Julius Evola,sophia_perennis
41,Le nombre d'or (1931),M.C. Ghyka,sophia_perennis
42,Philosophie et mystique du nombre (1952),M.C. Ghyka,sophia_perennis
43,L'Épopée de Gilgameš,[],sophia_perennis
44,Les Vers dorés,Pythagore,sophia_perennis
45,La Table d'émeraude,Hermès Trismégiste,sophia_perennis
46,Principes de la médecine selon la tradition,Gilles Andrès,sophia_perennis
47,Aperçus sur l'Ésotérisme Chrétien (1954),René Guénon,sophia_perennis
48,Le symbolisme du corps humain,Annick de Souzenelle,sophia_perennis
49,Traité d'histoire des religions (1949),Mircea Eliade,sophia_perennis
50,Le Traité de l'unité,Ibn Arabi,sophia_perennis
51,Le Livre de la Théologie mystique,Pseudo-Denys l'Aréopagite,sophia_perennis
52,L'éloge du vin (Al Khamriya) : Poème mystique,Ibn Al-Farid,sophia_perennis
53,La Bhagavad-Gîtâ,[],sophia_perennis
54,Le Mahâbhârata conté selon la tradition orale,Serge Demetrian,sophia_perennis
55,La République,Platon,sophia_perennis
56,De la vie au-delà des sens,Jakob Böhme,sophia_perennis
57,De la signature des choses (1622),Jakob Böhme,sophia_perennis
58,Métaphysique,Aristote,sophia_perennis
59,La Bible,[],sophia_perennis
60,Le Coran,Allah,sophia_perennis
61,"Upanishad 6, 7, 8, 9. Kausitaki upanisad, Svetasvara upanisad, Prasna upanisad, Taittiriya Upanisad",Collectif,sophia_perennis
62,Kaivalya Upanishad,Collectif,sophia_perennis
63,Le Bestiaire du Christ (2006),Louis Charbonneau-Lassay,sophia_perennis
64,Timée,Platon,sophia_perennis
65,La Hiérarchie céleste,Pseudo-Denys l'Aréopagite,sophia_perennis
66,Le Banquet,Platon,sophia_perennis
67,Le Politique,Platon,sophia_perennis
68,Le Sophiste,Platon,sophia_perennis
69,Philèbe,Platon,sophia_perennis
70,Le Sacré et le Profane,Mircea Eliade,sophia_perennis
71,De la constance du sage,Sénèque,sophia_perennis
72,Narthex - Principes traditionnels de la politique (1976),[],sophia_perennis
73,La Philosophie éternelle,Aldous Huxley,sophia_perennis
74,Les États multiples de l'être (1932),René Guénon,sophia_perennis
75,Introduction Générale à l'étude des doctrines hindoues (1921),René Guénon,sophia_perennis
76,L'Homme et son devenir selon le Vêdânta (1925),René Guénon,sophia_perennis
77,Formes traditionnelles et cycles cosmiques (1970),René Guénon,sophia_perennis
78,Théogonie,Hésiode,sophia_perennis
79,Théogonie · Les Travaux et les Jours · Le Bouclier,Hésiode,sophia_perennis
80,Phèdre (-370),Platon,sophia_perennis
81,Hymnes,Homère,sophia_perennis
82,L'Épopée de Gilgamesh,[],sophia_perennis
83,Le Mythe de l'éternel retour (1949),Mircea Eliade,sophia_perennis
84,"De l'âge de la pierre aux mystères d'Eleusis - Histoire des croyances et des idées religieuses, tome 1 (1975)",Mircea Eliade,sophia_perennis
85,Walden (1854),Henry David Thoreau,voir
86,Voir (1971),Carlos Castaneda,voir
87,Le Voyage à Ixtlan,Carlos Castaneda,voir
88,Voyage au coeur du chamanisme mexicain,Victor Sanchez,voir
89,Les Tarahumaras (1945),Antonin Artaud,voir
90,Siddhartha (1922),Hermann Hesse,voir
91,Le Cosmos et le Lotus,Trinh Xuan Thuan,voir
92,L'Homme qui plantait des arbres (1954),Jean Giono,voir
93,Le scorpion,Paul Bowles,voir
94,La Montagne magique (1924),Thomas Mann,voir
95,Entretien avec une chamane sibérienne,Pierre-Yves Brandt,voir
96,La Nature des choses,Lucrèce,voir
97,Le Chamanisme (1950),Mircea Eliade,voir
98,La Vie sans principe (1863),Henry David Thoreau,voir
99,Ainsi parlait H. D. Thoreau,Henry David Thoreau,voir
100,Walden (1854),Henry David Thoreau,voir
101,De la marche (1862),Henry David Thoreau,voir
102,Randonnée au mont Wachusett (1842),Henry David Thoreau,voir
103,Désobéir pour les animaux,Les désobéissants,voir
104,"Marcher, une philosophie (2008)",Frédéric Gros,voir
105,Le Versant animal,Jean-Christophe Bailly,voir
106,Le chemin du serpent,Fernando Pessoa,voir
107,Le Guerrier pacifique (1980),Dan Millman,voir
108,L'art de la paix (1992),Morihei Ueshiba,voir
109,Sages paroles du Dalaï-Lama,Catherine Barry,voir
110,"La Prochaine Fois, le feu (1963)",James Baldwin,voir
111,Les Quatre Accords toltèques,Don Miguel Ruiz,voir
112,Antispéciste (2016),Aymeric Caron,voir
113,Le Chat philosophe (2004),Kwong Kuen Shan,voir
